"","SYMBOL","GSM1143672","GSM1143673","GSM1143674","GSM1143675"
"1","A1BG",119,103,127,114
"2","NAT2",0,0,1,1
"3","ADA",526,451,915,589
"4","CDH2",1,0,1,0
"5","AKT3",5,6,7,5
"6","GAGE12F",0,0,0,0
"7","RNA5-8SN5",23,21,81,462
"8","RNA18SN5",1043,1073,2650,7033
"9","RNA28SN5",5816,4475,10723,16175
"10","TRY-GTA7-1",0,0,1,1
"11","TRY-GTA5-4",0,0,0,0
"12","TRF-GAA2-1",0,0,0,0
"13","TRF-GAA1-4",0,0,0,0
"14","TRH-GTG1-6",3,1,2,1
"15","LINC02584",1,0,0,0
"16","POU5F1P5",0,0,0,0
"17","ZBTB11-AS1",160,166,259,143
"18","MED6",700,763,885,508
"19","NR2E3",13,18,75,49
"20","NAALAD2",2,6,2,9
"21","DUXB",0,1,0,2
"22","SNORD116-1",0,0,0,0
"23","SNORD116-2",0,0,0,0
"24","SNORD116-3",0,0,0,0
"25","SNORD116-4",0,0,1,0
"26","SNORD116-5",0,0,0,0
"27","SNORD116-6",0,0,0,0
"28","SNORD116-7",0,0,0,0
"29","SNORD116-8",0,0,0,0
"30","SNORD116-9",0,0,0,0
"31","SNORD116-10",0,0,0,0
"32","SNORD116-11",0,0,0,0
"33","SNORD116-12",0,0,0,0
"34","SNORD116-13",0,0,0,0
"35","SNORD116-14",0,0,0,0
"36","SNORD116-15",0,0,0,0
"37","SNORD116-16",0,0,0,0
"38","SNORD116-17",0,0,0,0
"39","SNORD116-18",0,0,0,0
"40","SNORD116-20",0,0,0,0
"41","SNORD116-21",0,0,0,0
"42","SNORD116-22",0,0,0,0
"43","SNORD116-23",0,0,0,0
"44","SNORD116-24",0,0,0,0
"45","SNORD116-25",0,0,0,0
"46","SNORD115-2",0,0,0,0
"47","SNORD116-26",0,0,0,0
"48","SNORD116-27",0,0,0,0
"49","SNORD115-3",0,0,0,0
"50","SNORD115-4",0,0,0,0
"51","SNORD115-5",0,0,0,0
"52","SNORD115-6",0,0,0,0
"53","SNORD115-7",0,0,0,0
"54","SNORD115-8",0,0,0,0
"55","SNORD115-9",0,0,0,0
"56","SNORD115-10",0,0,0,0
"57","SNORD115-11",0,0,0,0
"58","SNORD115-12",0,0,0,0
"59","SNORD115-13",0,0,0,0
"60","SNORD115-14",0,0,0,0
"61","SNORD115-15",0,0,0,0
"62","SNORD115-16",0,0,0,0
"63","SNORD115-17",0,0,0,0
"64","SNORD115-18",0,0,0,0
"65","SNORD115-19",0,0,0,0
"66","SNORD115-20",0,0,0,0
"67","SNORD115-21",0,0,0,0
"68","SNORD115-22",0,0,0,0
"69","SNORD115-23",0,0,0,0
"70","SNORD115-25",0,0,0,0
"71","SNORD115-26",0,0,0,0
"72","SNORD115-29",0,0,0,0
"73","SNORD115-30",0,0,0,0
"74","SNORD115-31",0,0,0,0
"75","SNORD115-32",0,0,0,0
"76","SNORD115-33",0,0,0,0
"77","SNORD115-34",0,0,0,0
"78","SNORD115-35",0,0,0,0
"79","SNORD115-36",0,0,0,0
"80","SNORD115-37",0,0,0,0
"81","SNORD115-38",0,0,0,0
"82","SNORD115-39",0,0,0,0
"83","SNORD115-40",0,0,0,0
"84","SNORD115-41",0,0,0,0
"85","SNORD115-42",0,0,0,0
"86","SNORD115-43",0,0,0,0
"87","SNORD115-44",0,0,0,0
"88","MIR675",14,10,8,7
"89","SNORD116-28",0,0,0,0
"90","SNORD116-29",0,0,0,0
"91","SNORD115-48",0,0,0,0
"92","PDZK1P1",62,84,129,135
"93","SNORD115-24",0,0,0,0
"94","SNORD115-27",0,0,0,0
"95","SNORD115-28",0,0,0,0
"96","SNORD115-45",0,0,0,0
"97","SNORD115-47",0,0,0,0
"98","DDTL",928,914,1086,634
"99","TLX1NB",2,0,14,4
"100","NAALADL1",4,3,6,2
"101","CDKN2B-AS1",66,55,72,46
"102","GUSBP17",29,30,53,35
"103","SIGLEC14",0,0,1,1
"104","TRK-TTT3-4",1,1,1,1
"105","TRV-CAC1-5",0,0,0,0
"106","NINJ2-AS1",53,39,114,76
"107","ACOT8",378,306,618,367
"108","ABI1",1829,1771,2518,1544
"109","GNPDA1",1047,1039,2082,1191
"110","MIMT1",0,0,0,0
"111","KCNE3",0,0,0,0
"112","ZBTB33",1218,1159,1635,1048
"113","SNHG8",624,532,1011,590
"114","GTF2IP4",2201,2538,3601,2554
"115","GS1-600G8.3",0,0,0,0
"116","CDH3",4321,4376,5753,4000
"117","TANK",767,791,1176,852
"118","TTTY21B",0,0,0,0
"119","TTTY1B",0,0,0,0
"120","TTTY2B",0,0,0,0
"121","TTTY8B",0,0,0,0
"122","TTTY7B",0,0,0,0
"123","TTTY23B",0,0,0,0
"124","LOC100101148",3,2,4,2
"125","HAVCR1P1",0,5,2,6
"126","POM121C",1935,1727,2270,1406
"127","PMS2P7",50,35,63,42
"128","ZSCAN30",30,40,71,61
"129","H2BW3P",1,2,4,0
"130","ANKRD26P3",0,0,2,0
